LonIdx,LatIdx,Longitude,Latitude,LandFrac,Region,UTMx,UTMy
201,125,-108.75,27.801046,1.0,2,-1062.532073905633,3176.9984852901216
202,125,-107.5,27.801046,1.0,2,-936.9619994732553,3161.16291973978
203,125,-106.25,27.801046,1.0,2,-811.7783356280495,3146.7363309797097
204,125,-105.0,27.801046,1.0,2,-686.9479323805982,3133.6921335656352
205,125,-103.75,27.801046,1.0,2,-562.4375659605781,3122.0064368884027
206,125,-102.5,27.801046,1.0,2,-438.2139605210621,3111.657958159473
207,125,-101.25,27.801046,1.0,2,-314.24380511095154,3102.62794508789
208,125,-100.0,27.801046,1.0,2,-190.49376659707517,3094.9001079148743
209,125,-98.75,27.801046,1.0,2,-66.93049915136746,3088.460560507133
210,125,-97.5,27.801046,0.81661594,2,56.47934913751582,3083.297770245861
223,125,-81.25,27.801046,1.0,2,1662.0213203481571,3131.24703225499
197,126,-113.75,28.743456,0.8086859,2,-1549.9102897414182,3363.246962251906
199,126,-111.25,28.743456,1.0,2,-1298.1922976358426,3320.3490448677394
200,126,-110.0,28.743456,1.0,2,-1173.0289452549905,3301.218049924578
201,126,-108.75,28.743456,1.0,2,-1048.2892881610735,3283.5845588498914
202,126,-107.5,28.743456,1.0,2,-923.9429140015188,3267.4164677912654
203,126,-106.25,28.743456,1.0,2,-799.9591824504014,3252.684536975221
204,126,-105.0,28.743456,1.0,2,-676.3072674788585,3239.362289107172
205,126,-103.75,28.743456,1.0,2,-552.956192971694,3227.42591745621
206,126,-102.5,28.743456,1.0,2,-429.87486255901285,3216.854203306328
207,126,-101.25,28.743456,1.0,2,-307.03208444491156,3207.6284424765663
208,126,-100.0,28.743456,1.0,2,-184.39659194002255,3199.7323806364116
209,126,-98.75,28.743456,1.0,2,-61.93706033997168,3193.152157168992
210,126,-97.5,28.743456,0.9159732,2,60.37787926331372,3187.876257362489
198,127,-112.5,29.685863,1.0,2,-1405.2073493809812,3448.589603996127
199,127,-111.25,29.685863,1.0,2,-1280.933907386065,3427.5371960070142
200,127,-110.0,29.685863,1.0,2,-1157.0829718380353,3408.0419970589496
201,127,-108.75,29.685863,1.0,2,-1033.62699380876,3390.06923429974
202,127,-107.5,29.685863,1.0,2,-910.538049417062,3373.5870604142106
203,127,-106.25,29.685863,1.0,2,-787.7878980808752,3358.566449118022
204,127,-105.0,29.685863,1.0,2,-665.3480328944272,3344.9810997897202
205,127,-103.75,29.685863,1.0,2,-543.1897241063189,3332.807350995171
206,127,-102.5,29.685863,1.0,2,-421.284056579113,3322.024102664314
207,127,-101.25,29.685863,1.0,2,-299.60196202760864,3312.612746690979
208,127,-100.0,29.685863,1.0,2,-178.11424676041014,3304.557105741144
209,127,-98.75,29.685863,1.0,2,-56.791615586656725,3297.8433800728253
210,127,-97.5,29.685863,1.0,2,64.39530750373855,3292.4601021909975
